Date,Final Price,Last Seen Price,Min Stay,Price with Default Customization,Unbookable,Available,Check In,Status,Status Last Year,ADR,Booked Date,Booked Date Last Year,ADR Last Year
"2025-04-30","127","","2","111","","False","","","Booked","","","2024-04-29","166.33"
"2025-05-01","145","157","2","126","True","True","","","Booked (Check-In)","","","2024-04-10","204.92"
"2025-05-02","230","","2","192","","False","","Booked (Check-In)","Booked","233","2025-04-29","2024-04-10","204.92"
"2025-05-03","232","","2","202","","False","","Booked","Booked","233","2025-04-29","2024-04-10","204.92"
"2025-05-04","172","","2","149","","False","","Booked (Check-In)","Booked","167","2025-04-27","2024-04-10","204.92"
"2025-05-05","160","","2","139","","False","","Booked","Booked","167","2025-04-27","2024-04-10","204.92"
"2025-05-06","168","176","2","146","","True","","","Booked","","","2024-04-10","204.92"
"2025-05-07","182","184","2","158","","True","","","","","","",""
"2025-05-08","201","203","2","175","","True","","","","","","",""
"2025-05-09","270","","2","235","","False","","Booked (Check-In)","","251","2025-04-28","",""
"2025-05-10","274","","2","238","","False","","Booked","","251","2025-04-28","",""
"2025-05-11","211","208","2","184","","True","","","","","","",""
"2025-05-12","208","209","2","181","","True","","","","","","",""
"2025-05-13","211","214","2","183","","True","","","","","","",""
"2025-05-14","195","","2","170","","False","","Booked (Check-In)","","291.25","2025-03-28","",""
"2025-05-15","213","","2","185","","False","","Booked","","291.25","2025-03-28","",""
"2025-05-16","339","","3","295","","False","","Booked","","291.25","2025-03-28","",""
"2025-05-17","362","","3","315","","False","","Booked","","291.25","2025-03-28","",""
"2025-05-18","330","327","2","287","","True","","","Booked (Check-In)","","","2024-05-09","204"
"2025-05-19","206","204","2","179","","True","","","Booked","","","2024-05-09","204"
"2025-05-20","202","188","2","176","","True","","","Booked","","","2024-05-09","204"
"2025-05-21","188","188","2","163","","True","","","Booked","","","2024-05-09","204"
"2025-05-22","208","","2","181","","False","","","Booked","","","2024-05-09","204"
"2025-05-23","293","","3","255","","False","","","","","","",""
"2025-05-24","299","289","2","260","True","True","","","","","","",""
"2025-05-25","235","","2","204","","False","","","","","","",""
"2025-05-26","193","195","2","168","","True","","","","","","",""
"2025-05-27","189","208","2","164","","True","","","","","","",""
"2025-05-28","213","214","2","185","","True","","","","","","",""
"2025-05-29","209","208","2","182","","True","","","","","","",""
"2025-05-30","286","287","3","249","","True","","","Booked (Check-In)","","","2024-05-30","230"
"2025-05-31","300","285","3","261","","True","","","Booked","","","2024-05-30","230"
